suite	benchmark	config	result	time
custom	crypto_square_mod	no_vanishing	sat	0.02
custom	crypto_square_mod	no_tree_walk	sat	0.02
custom	crypto_square_mod	no_tseitin	sat	0.02
custom	crypto_square_mod	no_interreduce	sat	0.02
custom	crypto_square_mod	no_nonzero_fast	sat	0.02
custom	crypto_square_mod	no_if_case_elim	sat	0.02
custom	mul_ineq_12	no_algebraic	unsat	1.49
custom	crypto_square_mod	no_defer_bitblast	sat	0.02
custom	crypto_square_mod	reverse_order	sat	0.02
custom	crypto_square_mod	no_algebraic	sat	0.02
custom	gf256_mul_assoc	full	sat	0.06
custom	gf256_mul_assoc	no_vanishing	sat	0.06
custom	gf256_mul_assoc	no_tree_walk	sat	0.06
custom	gf256_mul_assoc	no_tseitin	sat	0.06
custom	gf256_mul_assoc	no_interreduce	sat	0.06
custom	gf256_mul_assoc	no_nonzero_fast	sat	0.06
custom	gf256_mul_assoc	no_if_case_elim	sat	0.06
custom	gf256_mul_assoc	no_defer_bitblast	sat	0.06
custom	gf256_mul_assoc	reverse_order	sat	0.06
custom	gf256_mul_assoc	no_algebraic	sat	0.06
custom	barrett_red_8	full	unsat	0.02
custom	barrett_red_8	no_vanishing	unsat	0.02
custom	barrett_red_8	no_tree_walk	unsat	0.02
custom	barrett_red_8	no_tseitin	unsat	0.01
custom	barrett_red_8	no_interreduce	unsat	0.01
custom	barrett_red_8	no_nonzero_fast	unsat	0.02
custom	barrett_red_8	no_if_case_elim	unsat	0.01
custom	barrett_red_8	no_defer_bitblast	unsat	0.01
custom	barrett_red_8	reverse_order	unsat	0.02
custom	barrett_red_8	no_algebraic	unsat	0.01
custom	mul_ineq_12	no_defer_bitblast	unsat	5.24
custom	mul_ineq_12	reverse_order	unsat	9.37
custom	bf16_mul_comm_v2	full	unsat	10.16
custom	bf16_mul_comm_v2	no_vanishing	unsat	10.20
custom	bf16_mul_comm_v2	no_tree_walk	unsat	10.71
custom	bf16_mul_comm_v2	no_tseitin	unsat	12.82
custom	bf16_mul_comm_v2	no_nonzero_fast	unsat	10.18
custom	bf16_mul_comm_v2	no_interreduce	unsat	10.43
custom	bf16_mul_comm_v2	no_if_case_elim	unsat	10.40
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	full	unsat	0.01
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	no_vanishing	unsat	0.01
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	no_tree_walk	unsat	0.01
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	no_tseitin	unsat	0.01
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	no_interreduce	unsat	0.01
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	no_nonzero_fast	unsat	0.01
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	no_if_case_elim	unsat	0.01
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	no_defer_bitblast	unsat	0.01
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	reverse_order	unsat	0.01
smt-comp	20190311-bv-term-small-rw-Noetzli_bv-term-small-rw_1303	no_algebraic	unsat	0.01
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	full	unsat	7.89
custom	bf16_mul_comm_v2	no_defer_bitblast	unsat	11.87
custom	bf16_mul_comm_v2	reverse_order	unsat	10.19
custom	bf16_mul_comm_v2	no_algebraic	unsat	13.04
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	no_vanishing	unsat	8.01
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	no_tseitin	unsat	7.49
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	no_interreduce	unsat	7.46
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	no_tree_walk	unsat	13.41
custom	dsp_image_reject	no_vanishing	TO	60.01
custom	dsp_image_reject	no_algebraic	TO	60.01
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	full	unsat	0.17
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	no_vanishing	unsat	0.18
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	no_tree_walk	unsat	0.17
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	no_tseitin	unsat	0.17
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	no_interreduce	unsat	0.17
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	no_nonzero_fast	unsat	0.18
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	no_if_case_elim	unsat	7.49
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	no_nonzero_fast	unsat	7.81
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	no_if_case_elim	unsat	0.17
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	no_defer_bitblast	unsat	0.17
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	reverse_order	unsat	0.17
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	full	unsat	0.03
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	no_vanishing	unsat	0.03
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_12	no_algebraic	unsat	0.17
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	no_tseitin	unsat	0.03
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	no_interreduce	unsat	0.03
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	no_nonzero_fast	unsat	0.03
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	no_if_case_elim	unsat	0.03
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	reverse_order	unsat	0.03
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	no_defer_bitblast	unsat	0.04
smt-comp	wienand-cav2008_Commute_commute08.sf	full	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute08.sf	no_vanishing	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute08.sf	no_tree_walk	unsat	0.01
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	no_defer_bitblast	unsat	7.99
smt-comp	wienand-cav2008_Commute_commute08.sf	no_interreduce	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute08.sf	no_nonzero_fast	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute08.sf	no_if_case_elim	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute08.sf	no_defer_bitblast	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute08.sf	reverse_order	unsat	0.01
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	reverse_order	unsat	10.40
smt-comp	wienand-cav2008_Commute_commute16.sf	full	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute16.sf	no_vanishing	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute16.sf	no_tree_walk	unsat	0.01
smt-comp	20220315-ecrw_rw_rule_candidate_vmcai_2022_bw512_1	no_algebraic	TO	60.33
smt-comp	wienand-cav2008_Commute_commute16.sf	no_interreduce	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute16.sf	no_nonzero_fast	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute16.sf	no_if_case_elim	unsat	0.01
smt-comp	wienand-cav2008_Commute_commute16.sf	no_defer_bitblast	unsat	0.02
smt-comp	wienand-cav2008_Commute_commute16.sf	reverse_order	unsat	0.01
smt-comp	20230321-UltimateAutomizerSvcomp2023_geo3.c_5	no_tree_walk	TO	60.01
smt-comp	wienand-cav2008_Commute_commute32.sf	full	unsat	0.01
