repo,proof,backend,result,exit_code,wall_time_s,max_rss_kb
mldsa-native,pack_sig_c_h,sat_cadical,SUCCESS,0,5.7,565352
mldsa-native,pack_sig_c_h,sat_minisat,SUCCESS,0,4.83,221568
mldsa-native,pack_sig_z,smt,SUCCESS,0,0.34,45304
mldsa-native,pack_sig_z,sat_cadical,SUCCESS,0,2.23,109568
mldsa-native,pack_sig_z,sat_minisat,SUCCESS,0,1.33,57632
mldsa-native,pack_sk,smt,SUCCESS,0,0.9,80508
mldsa-native,pack_sk,sat_cadical,SUCCESS,0,159.37,2588012
mldsa-native,pack_sk,sat_minisat,SUCCESS,0,93.58,1030424
mldsa-native,poly_add,smt,SUCCESS,0,32.35,172124
mldsa-native,poly_add,sat_cadical,TIMEOUT,124,300.54,14718416
mldsa-native,poly_add,sat_minisat,TIMEOUT,124,300.27,3937620
mldsa-native,poly_caddq,smt,SUCCESS,0,0.29,48400
mldsa-native,poly_caddq,sat_cadical,SUCCESS,0,6.35,228556
mldsa-native,poly_caddq,sat_minisat,SUCCESS,0,2.52,93588
mldsa-native,poly_caddq_c,smt,SUCCESS,0,1.13,49160
mldsa-native,poly_caddq_c,sat_cadical,SUCCESS,0,137.34,5109008
mldsa-native,poly_caddq_c,sat_minisat,SUCCESS,0,20.98,1462336
mldsa-native,poly_caddq_native,smt,SUCCESS,0,0.54,69336
mldsa-native,poly_caddq_native,sat_cadical,SUCCESS,0,18.21,693888
mldsa-native,poly_caddq_native,sat_minisat,SUCCESS,0,10.69,240236
mldsa-native,poly_caddq_native_aarch64,smt,SUCCESS,0,0.38,64048
mldsa-native,poly_caddq_native_aarch64,sat_cadical,SUCCESS,0,10.21,369692
mldsa-native,poly_caddq_native_aarch64,sat_minisat,SUCCESS,0,3.04,145032
mldsa-native,poly_challenge,smt,SUCCESS,0,2.14,65228
mldsa-native,poly_challenge,sat_cadical,SUCCESS,0,10.74,360660
mldsa-native,poly_challenge,sat_minisat,SUCCESS,0,16.35,285400
mldsa-native,poly_chknorm,smt,SUCCESS,0,0.24,42780
mldsa-native,poly_chknorm,sat_cadical,SUCCESS,0,123.48,241648
mldsa-native,poly_chknorm,sat_minisat,TIMEOUT,124,300.02,234012
mldsa-native,poly_chknorm_c,smt,SUCCESS,0,11.51,63968
mldsa-native,poly_chknorm_c,sat_cadical,TIMEOUT,124,300.23,5253524
mldsa-native,poly_chknorm_c,sat_minisat,TIMEOUT,124,300.09,1423524
mldsa-native,poly_chknorm_native,smt,SUCCESS,0,0.37,45556
mldsa-native,poly_chknorm_native,sat_cadical,SUCCESS,0,254.39,495244
mldsa-native,poly_chknorm_native,sat_minisat,TIMEOUT,124,300.02,260800
mldsa-native,poly_decompose,smt,SUCCESS,0,0.37,55120
mldsa-native,poly_decompose,sat_cadical,SUCCESS,0,10.02,386932
mldsa-native,poly_decompose,sat_minisat,SUCCESS,0,2.43,124968
mldsa-native,poly_decompose_c,smt,SUCCESS,0,3.45,88948
mldsa-native,poly_decompose_c,sat_cadical,SUCCESS,0,186.51,5644944
mldsa-native,poly_decompose_c,sat_minisat,SUCCESS,0,23.08,1618984
mldsa-native,poly_decompose_native,smt,SUCCESS,0,0.74,82488
mldsa-native,poly_decompose_native,sat_cadical,SUCCESS,0,31.16,1012276
mldsa-native,poly_decompose_native,sat_minisat,SUCCESS,0,12.44,334468
mldsa-native,poly_invntt_tomont,smt,SUCCESS,0,0.37,61744
mldsa-native,poly_invntt_tomont,sat_cadical,SUCCESS,0,5.48,226312
mldsa-native,poly_invntt_tomont,sat_minisat,SUCCESS,0,3.55,96236
mldsa-native,poly_invntt_tomont_c,smt,SUCCESS,0,3.72,143156
mldsa-native,poly_invntt_tomont_c,sat_cadical,SUCCESS,0,213.19,7124600
mldsa-native,poly_invntt_tomont_c,sat_minisat,SUCCESS,0,119.33,1998392
mldsa-native,poly_invntt_tomont_native,smt,SUCCESS,0,0.61,73568
mldsa-native,poly_invntt_tomont_native,sat_cadical,SUCCESS,0,17.51,674084
mldsa-native,poly_invntt_tomont_native,sat_minisat,SUCCESS,0,10.71,265556
mldsa-native,poly_make_hint,smt,SUCCESS,0,1.12,47356
mldsa-native,poly_make_hint,sat_cadical,SUCCESS,0,12.46,504996
mldsa-native,poly_make_hint,sat_minisat,SUCCESS,0,2.13,186960
mldsa-native,poly_ntt,smt,SUCCESS,0,0.28,48108
mldsa-native,poly_ntt,sat_cadical,SUCCESS,0,5.97,216212
mldsa-native,poly_ntt,sat_minisat,SUCCESS,0,3.29,94452
mldsa-native,poly_ntt_c,smt,SUCCESS,0,1.04,92568
mldsa-native,poly_ntt_c,sat_cadical,SUCCESS,0,36.51,1148792
mldsa-native,poly_ntt_c,sat_minisat,SUCCESS,0,95.77,423136
mldsa-native,poly_ntt_native,smt,SUCCESS,0,0.54,69060
mldsa-native,poly_ntt_native,sat_cadical,SUCCESS,0,22.05,699960
mldsa-native,poly_ntt_native,sat_minisat,SUCCESS,0,16.18,291668
mldsa-native,poly_pointwise_montgomery,smt,SUCCESS,0,0.28,44640
mldsa-native,poly_pointwise_montgomery,sat_cadical,SUCCESS,0,10.03,389312
mldsa-native,poly_pointwise_montgomery,sat_minisat,SUCCESS,0,6.04,132544
mldsa-native,poly_pointwise_montgomery_c,smt,SUCCESS,0,110.52,115100
mldsa-native,poly_pointwise_montgomery_c,sat_cadical,SUCCESS,0,37.4,910976
mldsa-native,poly_pointwise_montgomery_c,sat_minisat,SUCCESS,0,8.4,318008
mldsa-native,poly_pointwise_montgomery_native,smt,SUCCESS,0,0.63,74920
mldsa-native,poly_pointwise_montgomery_native,sat_cadical,SUCCESS,0,28.05,1023852
mldsa-native,poly_pointwise_montgomery_native,sat_minisat,SUCCESS,0,16.32,363444
mldsa-native,poly_power2round,smt,SUCCESS,0,3.56,87956
mldsa-native,poly_power2round,sat_cadical,SUCCESS,0,43.09,1157628
mldsa-native,poly_power2round,sat_minisat,SUCCESS,0,5.64,400400
mldsa-native,poly_reduce,smt,SUCCESS,0,0.45,47964
mldsa-native,poly_reduce,sat_cadical,SUCCESS,0,143.8,5109120
mldsa-native,poly_reduce,sat_minisat,SUCCESS,0,21.18,1460496
mldsa-native,poly_shiftl,smt,SUCCESS,0,0.7,48272
mldsa-native,poly_shiftl,sat_cadical,SUCCESS,0,153.56,5258692
mldsa-native,poly_shiftl,sat_minisat,SUCCESS,0,18.35,1442960
mldsa-native,poly_sub,smt,SUCCESS,0,0.62,49860
mldsa-native,poly_sub,sat_cadical,SUCCESS,0,152.28,5464676
mldsa-native,poly_sub,sat_minisat,SUCCESS,0,20.42,1493976
