benchmark	primary	secondary	time	result	vars	clauses	conflicts
bf16_mul_comm_v2	shift-add	block4	22.208	unsat	1743	6697	417623
bf16_mul_comm_v2	comba-cs	none	10.910	unsat	1743	6683	230430
bf16_mul_comm_v2	comba-cs	shift-add	10.862	unsat	1743	6683	230430
bf16_mul_comm_v2	comba-cs	comba	10.807	unsat	1743	6683	230430
bf16_mul_comm_v2	comba-cs	dadda	10.837	unsat	1743	6683	230430
bf16_mul_comm_v2	comba-cs	booth	10.802	unsat	1743	6683	230430
bf16_mul_comm_v2	comba-cs	block4	10.878	unsat	1743	6683	230430
bf16_mul_comm_v2	booth	none	22.282	unsat	1743	6697	417623
bf16_mul_comm_v2	booth	shift-add	22.225	unsat	1743	6697	417623
bf16_mul_comm_v2	booth	comba-cs	22.103	unsat	1743	6697	417623
bf16_mul_comm_v2	booth	comba	22.266	unsat	1743	6697	417623
bf16_mul_comm_v2	booth	dadda	22.201	unsat	1743	6697	417623
bf16_mul_comm_v2	booth	block4	22.183	unsat	1743	6697	417623
bf16_mul_comm_v2	block4	none	22.297	unsat	1743	6697	417623
bf16_mul_comm_v2	block4	shift-add	22.107	unsat	1743	6697	417623
bf16_mul_comm_v2	block4	comba-cs	22.067	unsat	1743	6697	417623
bf16_mul_comm_v2	block4	comba	22.153	unsat	1743	6697	417623
bf16_mul_comm_v2	block4	dadda	21.987	unsat	1743	6697	417623
bf16_mul_comm_v2	block4	booth	22.072	unsat	1743	6697	417623
MULTI_ENCODING_DONE
