# Item 7 (expression normalisation) ablation on Martin's benchmarks.
# Same stratified random sample as martin-subpoly-results.md.
# Time in seconds; T/O = 10 s
benchmark	default	expr_norm
bitwidth-32-degree-2-seed-23-multiplication-original-native-encoding	0.05	0.05
bitwidth-16-degree-6-seed-23-multiplication-original-native-encoding	0.10	0.11
bitwidth-16-degree-32-seed-23-multiplication-original-native-encoding	3.14	3.16
bitwidth-16-degree-25-seed-23-multiplication-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-11-seed-23-multiplication-original-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-8-seed-23-multiplication-original-subpolynomial-encoding	0.96	0.95
bitwidth-32-degree-20-seed-23-multiplication-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-13-seed-23-multiplication-original-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-12-seed-23-multiplication-reduced-native-encoding	0.27	0.27
bitwidth-16-degree-7-seed-23-multiplication-reduced-native-encoding	0.14	0.14
bitwidth-16-degree-8-seed-23-multiplication-reduced-native-encoding	0.18	0.18
bitwidth-16-degree-14-seed-23-multiplication-reduced-native-encoding	0.30	0.30
bitwidth-16-degree-4-seed-23-multiplication-reduced-native-encoding	0.05	0.05
bitwidth-16-degree-23-seed-23-multiplication-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-27-seed-23-multiplication-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-22-seed-23-multiplication-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-6-seed-23-multiplication-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-9-seed-23-multiplication-reduced-subpolynomial-encoding	0.91	0.90
bitwidth-32-degree-6-seed-23-nonequality-original-native-encoding	T/O	T/O
bitwidth-16-degree-2-seed-23-nonequality-original-native-encoding	2.09	2.12
bitwidth-16-degree-21-seed-23-nonequality-original-native-encoding	T/O	T/O
bitwidth-16-degree-31-seed-23-nonequality-original-native-encoding	T/O	T/O
bitwidth-16-degree-7-seed-23-nonequality-original-native-encoding	T/O	T/O
bitwidth-8-degree-11-seed-23-nonequality-original-subpolynomial-encoding	0.30	0.30
bitwidth-16-degree-11-seed-23-nonequality-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-10-seed-23-nonequality-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-31-seed-23-nonequality-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-27-seed-23-nonequality-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-26-seed-23-nonequality-reduced-native-encoding	0.31	0.31
bitwidth-16-degree-18-seed-23-nonequality-reduced-native-encoding	T/O	T/O
bitwidth-32-degree-12-seed-23-nonequality-reduced-native-encoding	T/O	T/O
bitwidth-32-degree-8-seed-23-nonequality-reduced-native-encoding	T/O	T/O
bitwidth-16-degree-3-seed-23-nonequality-reduced-native-encoding	T/O	T/O
bitwidth-32-degree-21-seed-23-nonequality-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-15-seed-23-nonequality-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-4-seed-23-nonequality-reduced-subpolynomial-encoding	0.09	0.10
bitwidth-32-degree-23-seed-23-nonequality-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-23-seed-23-nonequality-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-5-seed-23-root-finding-original-native-encoding	0.01	0.01
bitwidth-16-degree-30-seed-23-root-finding-original-native-encoding	5.06	5.07
bitwidth-8-degree-4-seed-23-root-finding-original-native-encoding	0.00	0.00
bitwidth-32-degree-15-seed-23-root-finding-original-native-encoding	0.60	0.60
bitwidth-32-degree-21-seed-23-root-finding-original-native-encoding	1.22	1.23
bitwidth-8-degree-11-seed-23-root-finding-original-subpolynomial-encoding	0.06	0.06
bitwidth-32-degree-7-seed-23-root-finding-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-22-seed-23-root-finding-original-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-4-seed-23-root-finding-original-subpolynomial-encoding	0.36	0.36
bitwidth-16-degree-23-seed-23-root-finding-original-subpolynomial-encoding	6.05	6.08
bitwidth-16-degree-16-seed-23-root-finding-reduced-native-encoding	0.12	0.12
bitwidth-32-degree-21-seed-23-root-finding-reduced-native-encoding	1.21	1.23
bitwidth-8-degree-14-seed-23-root-finding-reduced-native-encoding	0.01	0.01
bitwidth-8-degree-2-seed-23-root-finding-reduced-native-encoding	0.00	0.00
