# Multiplication encoding benchmark results
# Date: 2026-04-25T18:26:53+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-274-gd3b768edcb-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	cadical	comba	ripple	add_sub_cancel_16	.008243
smt2	cadical	comba-cs	brent-kung	add_sub_cancel_16	.015400
smt2	cadical	comba-cs	g-only	add_sub_cancel_16	.008309
smt2	cadical	comba-cs	ripple	add_sub_cancel_16	.008269
smt2	cadical	dadda	brent-kung	add_sub_cancel_16	.015084
smt2	cadical	dadda	g-only	add_sub_cancel_16	.008239
smt2	cadical	dadda	ripple	add_sub_cancel_16	.008292
smt2	cadical	shift-add	brent-kung	add_sub_cancel_16	.015280
smt2	cadical	shift-add	g-only	add_sub_cancel_16	.008283
smt2	cadical	shift-add	ripple	add_sub_cancel_16	.008868
smt2	cryptominisat	comba	brent-kung	add_sub_cancel_16	.009978
smt2	cryptominisat	comba	g-only	add_sub_cancel_16	.008310
smt2	cryptominisat	comba	ripple	add_sub_cancel_16	.008213
smt2	cryptominisat	comba-cs	brent-kung	add_sub_cancel_16	.010199
smt2	cryptominisat	comba-cs	g-only	add_sub_cancel_16	.008282
smt2	cryptominisat	comba-cs	ripple	add_sub_cancel_16	.008200
smt2	cryptominisat	dadda	brent-kung	add_sub_cancel_16	.010224
smt2	cryptominisat	dadda	g-only	add_sub_cancel_16	.008238
smt2	cryptominisat	dadda	ripple	add_sub_cancel_16	.008192
smt2	cryptominisat	shift-add	brent-kung	add_sub_cancel_16	.010611
smt2	cryptominisat	shift-add	g-only	add_sub_cancel_16	.008326
smt2	cryptominisat	shift-add	ripple	add_sub_cancel_16	.008984
smt2	mergesat	comba	brent-kung	add_sub_cancel_16	.016504
smt2	mergesat	comba	g-only	add_sub_cancel_16	.012502
smt2	mergesat	comba	ripple	add_sub_cancel_16	.012520
smt2	mergesat	comba-cs	brent-kung	add_sub_cancel_16	.016448
smt2	mergesat	comba-cs	g-only	add_sub_cancel_16	.012509
smt2	mergesat	comba-cs	ripple	add_sub_cancel_16	.012453
smt2	mergesat	dadda	brent-kung	add_sub_cancel_16	.016337
smt2	mergesat	dadda	g-only	add_sub_cancel_16	.012462
smt2	mergesat	dadda	ripple	add_sub_cancel_16	.012380
smt2	mergesat	shift-add	brent-kung	add_sub_cancel_16	.016568
smt2	mergesat	shift-add	g-only	add_sub_cancel_16	.012433
smt2	mergesat	shift-add	ripple	add_sub_cancel_16	.013107
smt2	minisat	comba	brent-kung	add_sub_cancel_16	.011258
smt2	minisat	comba	g-only	add_sub_cancel_16	.007546
smt2	minisat	comba	ripple	add_sub_cancel_16	.007450
smt2	minisat	comba-cs	brent-kung	add_sub_cancel_16	.011229
smt2	minisat	comba-cs	g-only	add_sub_cancel_16	.007532
smt2	minisat	comba-cs	ripple	add_sub_cancel_16	.007386
smt2	minisat	dadda	brent-kung	add_sub_cancel_16	.011139
smt2	minisat	dadda	g-only	add_sub_cancel_16	.007333
smt2	minisat	dadda	ripple	add_sub_cancel_16	.007530
smt2	minisat	shift-add	brent-kung	add_sub_cancel_16	.011702
smt2	minisat	shift-add	g-only	add_sub_cancel_16	.007398
smt2	minisat	shift-add	ripple	add_sub_cancel_16	.007996
smt2	cadical	comba	brent-kung	assoc_8	T/O
smt2	cadical	comba	g-only	assoc_8	.010702
smt2	cadical	comba	ripple	assoc_8	.010667
smt2	cadical	comba-cs	brent-kung	assoc_8	.009589
smt2	cadical	comba-cs	g-only	assoc_8	.009540
smt2	cadical	comba-cs	ripple	assoc_8	.009652
smt2	cadical	dadda	brent-kung	assoc_8	.009780
smt2	cadical	dadda	g-only	assoc_8	.009666
smt2	cadical	dadda	ripple	assoc_8	.009482
smt2	cadical	shift-add	brent-kung	assoc_8	.009640
smt2	cadical	shift-add	g-only	assoc_8	.009678
smt2	cadical	shift-add	ripple	assoc_8	.009731
smt2	cryptominisat	comba	brent-kung	assoc_8	T/O
smt2	cryptominisat	comba	g-only	assoc_8	T/O
smt2	cryptominisat	comba	ripple	assoc_8	T/O
smt2	cryptominisat	comba-cs	brent-kung	assoc_8	85.239172
smt2	cryptominisat	comba-cs	g-only	assoc_8	85.154243
smt2	cryptominisat	comba-cs	ripple	assoc_8	84.866346
smt2	cryptominisat	dadda	brent-kung	assoc_8	T/O
