# External solver comparison on QF_BV benchmarks
# Date: 2026-04-27T09:12:31+00:00
# Timeout: 120s, Runs: 3 (median), Jobs: 8
# CBMC smt2_solver: ?
# Bitwuzla: 0.9.0-dev-main@72ecd081
# cvc5: This is cvc5 version 1.3.3 [git 8ff882e on branch HEAD]
#
solver	benchmark	time
cbmc-cadical	comm_20	.011270
cbmc-minisat	comm_20	.010106
cvc5	comm_20	.006402
bitwuzla	comm_32	.004918
cbmc-cadical	comm_32	.014235
cbmc-minisat	comm_32	.012183
cvc5	comm_32	.006292
bitwuzla	comm_8	.004816
cbmc-cadical	comm_8	.006820
cbmc-minisat	comm_8	.006507
cvc5	comm_8	.006053
bitwuzla	crypto_square_mod	.016419
cbmc-cadical	crypto_square_mod	.020876
cbmc-minisat	crypto_square_mod	.039366
cvc5	crypto_square_mod	.091982
bitwuzla	distrib_16	.005089
cbmc-cadical	distrib_16	.009413
cbmc-minisat	distrib_16	.008673
cvc5	distrib_16	.006139
bitwuzla	distrib_8	.005143
cbmc-cadical	distrib_8	.007143
cbmc-minisat	distrib_8	.006874
cvc5	distrib_8	.006175
bitwuzla	div_mul_roundtrip_12	5.247556
cbmc-cadical	div_mul_roundtrip_12	3.973725
cbmc-minisat	div_mul_roundtrip_12	10.885947
cvc5	div_mul_roundtrip_12	6.267556
bitwuzla	equiv_unsat_8add_16	.004946
cbmc-cadical	equiv_unsat_8add_16	.008136
cbmc-minisat	equiv_unsat_8add_16	.007634
cvc5	equiv_unsat_8add_16	.006361
bitwuzla	factor_12	.006023
cbmc-cadical	factor_12	.006711
cbmc-minisat	factor_12	.008045
cvc5	factor_12	.008520
bitwuzla	factor_16	.006372
cbmc-cadical	factor_16	.007528
cbmc-minisat	factor_16	.009566
cvc5	factor_16	.009859
bitwuzla	factor_20	.007456
cbmc-cadical	factor_20	.008863
cbmc-minisat	factor_20	.012989
cvc5	factor_20	.012194
bitwuzla	fixedpoint_mul_16	.007841
cbmc-cadical	fixedpoint_mul_16	.025087
cbmc-minisat	fixedpoint_mul_16	.013660
cvc5	fixedpoint_mul_16	.014134
bitwuzla	float_mul_comm	.007635
cbmc-cadical	float_mul_comm	.021960
cbmc-minisat	float_mul_comm	.051226
cvc5	float_mul_comm	.048814
bitwuzla	float_mul_comm_v2	.004731
cbmc-cadical	float_mul_comm_v2	T/O
cbmc-minisat	float_mul_comm_v2	T/O
cvc5	float_mul_comm_v2	.006017
bitwuzla	gf256_mul_assoc	.025240
cbmc-cadical	gf256_mul_assoc	.053997
cbmc-minisat	gf256_mul_assoc	.032533
cvc5	gf256_mul_assoc	.053431
bitwuzla	half_mul_comm	.007156
cbmc-cadical	half_mul_comm	.009986
cbmc-minisat	half_mul_comm	.023469
cvc5	half_mul_comm	T/O
bitwuzla	half_mul_comm_v2	.004617
cbmc-cadical	half_mul_comm_v2	T/O
cbmc-minisat	half_mul_comm_v2	T/O
cvc5	half_mul_comm_v2	T/O
bitwuzla	hw_mul_equiv_12	T/O
cbmc-cadical	hw_mul_equiv_12	T/O
cbmc-minisat	hw_mul_equiv_12	T/O
cvc5	hw_mul_equiv_12	T/O
bitwuzla	mixed_arith_8	.004847
cbmc-cadical	mixed_arith_8	.011254
cbmc-minisat	mixed_arith_8	.010841
cvc5	mixed_arith_8	T/O
bitwuzla	mul_ineq_12	1.384751
cbmc-cadical	mul_ineq_12	.522224
cbmc-minisat	mul_ineq_12	.343331
cvc5	mul_ineq_12	1.854797
bitwuzla	mul_no_overflow_16	.009839
cbmc-cadical	mul_no_overflow_16	.011720
cbmc-minisat	mul_no_overflow_16	.016956
cvc5	mul_no_overflow_16	.030575
bitwuzla	overflow_detect_16	.004952
cbmc-cadical	overflow_detect_16	.008878
cbmc-minisat	overflow_detect_16	.008128
cvc5	overflow_detect_16	.014739
bitwuzla	strength_chain_16	.005271
cbmc-cadical	strength_chain_16	1.428530
cbmc-minisat	strength_chain_16	3.124948
cvc5	strength_chain_16	.007881
bitwuzla	strength_red_16	.004956
cbmc-cadical	strength_red_16	.016872
cbmc-minisat	strength_red_16	.012414
cvc5	strength_red_16	.007385
