# Multiplication encoding benchmark results
# Date: 2026-04-23T11:16:11+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-250-g3db825a832-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	minisat	comba	g-only	add_sub_cancel_16	.007946
smt2	minisat	comba	ripple	add_sub_cancel_16	.007979
smt2	minisat	comba-cs	brent-kung	add_sub_cancel_16	.011841
smt2	minisat	comba-cs	g-only	add_sub_cancel_16	.008149
smt2	minisat	comba-cs	ripple	add_sub_cancel_16	.007947
smt2	minisat	dadda	brent-kung	add_sub_cancel_16	.011930
smt2	minisat	dadda	g-only	add_sub_cancel_16	.007782
smt2	minisat	dadda	ripple	add_sub_cancel_16	.007694
smt2	minisat	shift-add	brent-kung	add_sub_cancel_16	.011930
smt2	minisat	shift-add	g-only	add_sub_cancel_16	.007954
smt2	minisat	shift-add	ripple	add_sub_cancel_16	.007968
smt2	cadical	comba	brent-kung	assoc_8	T/O
smt2	cadical	comba	g-only	assoc_8	T/O
smt2	cadical	comba	ripple	assoc_8	T/O
smt2	cadical	comba-cs	brent-kung	assoc_8	27.285890
smt2	cadical	comba-cs	g-only	assoc_8	27.366681
smt2	cadical	comba-cs	ripple	assoc_8	27.234399
smt2	cadical	dadda	brent-kung	assoc_8	T/O
smt2	cadical	dadda	g-only	assoc_8	T/O
smt2	cadical	dadda	ripple	assoc_8	T/O
smt2	cadical	shift-add	brent-kung	assoc_8	27.570460
smt2	cadical	shift-add	g-only	assoc_8	27.440389
smt2	cadical	shift-add	ripple	assoc_8	27.587541
smt2	cryptominisat	comba	brent-kung	assoc_8	T/O
smt2	cryptominisat	comba	g-only	assoc_8	T/O
smt2	cryptominisat	comba	ripple	assoc_8	T/O
smt2	cryptominisat	comba-cs	brent-kung	assoc_8	86.638620
smt2	cryptominisat	comba-cs	g-only	assoc_8	86.331520
smt2	cryptominisat	comba-cs	ripple	assoc_8	87.461596
smt2	cryptominisat	dadda	brent-kung	assoc_8	T/O
smt2	cryptominisat	dadda	g-only	assoc_8	T/O
smt2	cryptominisat	dadda	ripple	assoc_8	T/O
smt2	cryptominisat	shift-add	brent-kung	assoc_8	90.877126
smt2	cryptominisat	shift-add	g-only	assoc_8	89.749436
smt2	cryptominisat	shift-add	ripple	assoc_8	90.144495
smt2	mergesat	comba	brent-kung	assoc_8	T/O
smt2	mergesat	comba	g-only	assoc_8	T/O
smt2	mergesat	comba	ripple	assoc_8	T/O
smt2	mergesat	comba-cs	brent-kung	assoc_8	104.669813
smt2	mergesat	comba-cs	g-only	assoc_8	104.337239
smt2	mergesat	comba-cs	ripple	assoc_8	105.219364
smt2	mergesat	dadda	brent-kung	assoc_8	T/O
smt2	mergesat	dadda	g-only	assoc_8	T/O
smt2	mergesat	dadda	ripple	assoc_8	T/O
smt2	mergesat	shift-add	brent-kung	assoc_8	107.673193
smt2	mergesat	shift-add	g-only	assoc_8	106.011636
smt2	mergesat	shift-add	ripple	assoc_8	107.759458
smt2	minisat	comba	brent-kung	assoc_8	T/O
smt2	minisat	comba	g-only	assoc_8	T/O
smt2	minisat	comba	ripple	assoc_8	T/O
smt2	minisat	comba-cs	brent-kung	assoc_8	T/O
smt2	minisat	comba-cs	g-only	assoc_8	T/O
smt2	minisat	comba-cs	ripple	assoc_8	T/O
smt2	minisat	dadda	brent-kung	assoc_8	T/O
smt2	minisat	dadda	g-only	assoc_8	T/O
smt2	minisat	dadda	ripple	assoc_8	T/O
smt2	minisat	shift-add	brent-kung	assoc_8	T/O
smt2	minisat	shift-add	g-only	assoc_8	T/O
smt2	minisat	shift-add	ripple	assoc_8	T/O
smt2	cadical	comba	brent-kung	barrett_red_8	T/O
smt2	cadical	comba	g-only	barrett_red_8	.017893
smt2	cadical	comba	ripple	barrett_red_8	.017945
smt2	cadical	comba-cs	brent-kung	barrett_red_8	.013671
smt2	cadical	comba-cs	g-only	barrett_red_8	.013148
smt2	cadical	comba-cs	ripple	barrett_red_8	.012973
smt2	cadical	dadda	brent-kung	barrett_red_8	.014629
smt2	cadical	dadda	g-only	barrett_red_8	.014112
smt2	cadical	dadda	ripple	barrett_red_8	.013579
smt2	cadical	shift-add	brent-kung	barrett_red_8	.014406
smt2	cadical	shift-add	g-only	barrett_red_8	.013082
smt2	cadical	shift-add	ripple	barrett_red_8	.013679
smt2	cryptominisat	comba	brent-kung	barrett_red_8	T/O
smt2	cryptominisat	comba	g-only	barrett_red_8	.022564
smt2	cryptominisat	comba	ripple	barrett_red_8	.021337
smt2	cryptominisat	comba-cs	brent-kung	barrett_red_8	.008045
smt2	cryptominisat	comba-cs	g-only	barrett_red_8	.007820
smt2	cryptominisat	comba-cs	ripple	barrett_red_8	.007572
smt2	cryptominisat	dadda	brent-kung	barrett_red_8	.008419
smt2	cryptominisat	dadda	g-only	barrett_red_8	.008230
smt2	cryptominisat	dadda	ripple	barrett_red_8	.008364
smt2	cryptominisat	shift-add	brent-kung	barrett_red_8	.008089
smt2	cryptominisat	shift-add	g-only	barrett_red_8	.007701
smt2	cryptominisat	shift-add	ripple	barrett_red_8	.007529
smt2	mergesat	comba	brent-kung	barrett_red_8	T/O
smt2	mergesat	comba	g-only	barrett_red_8	.014606
smt2	mergesat	comba	ripple	barrett_red_8	.014658
smt2	mergesat	comba-cs	brent-kung	barrett_red_8	.009528
smt2	mergesat	comba-cs	g-only	barrett_red_8	.008390
smt2	mergesat	comba-cs	ripple	barrett_red_8	.008223
smt2	mergesat	dadda	brent-kung	barrett_red_8	.008923
smt2	mergesat	dadda	g-only	barrett_red_8	.009842
smt2	mergesat	dadda	ripple	barrett_red_8	.009989
smt2	mergesat	shift-add	brent-kung	barrett_red_8	.009415
smt2	mergesat	shift-add	g-only	barrett_red_8	.008206
smt2	mergesat	shift-add	ripple	barrett_red_8	.008172
smt2	minisat	comba	brent-kung	barrett_red_8	T/O
smt2	minisat	comba	g-only	barrett_red_8	.009421
smt2	minisat	comba	ripple	barrett_red_8	.009390
smt2	minisat	comba-cs	brent-kung	barrett_red_8	.007368
smt2	minisat	comba-cs	g-only	barrett_red_8	.007135
smt2	minisat	comba-cs	ripple	barrett_red_8	.007024
smt2	minisat	dadda	brent-kung	barrett_red_8	.007415
smt2	minisat	dadda	g-only	barrett_red_8	.006979
smt2	minisat	dadda	ripple	barrett_red_8	.006851
smt2	minisat	shift-add	brent-kung	barrett_red_8	.007322
smt2	minisat	shift-add	g-only	barrett_red_8	.007204
smt2	minisat	shift-add	ripple	barrett_red_8	.007001
smt2	cadical	comba	brent-kung	bf16_mul_comm	.010129
smt2	cadical	comba	g-only	bf16_mul_comm	.010051
smt2	cadical	comba	ripple	bf16_mul_comm	.010326
smt2	cadical	comba-cs	brent-kung	bf16_mul_comm	.009629
smt2	cadical	comba-cs	g-only	bf16_mul_comm	.009293
smt2	cadical	comba-cs	ripple	bf16_mul_comm	.009349
smt2	cadical	dadda	brent-kung	bf16_mul_comm	.009589
smt2	cadical	dadda	g-only	bf16_mul_comm	.009118
smt2	cadical	dadda	ripple	bf16_mul_comm	.009256
smt2	cadical	shift-add	brent-kung	bf16_mul_comm	.009191
smt2	cadical	shift-add	g-only	bf16_mul_comm	.009534
smt2	cadical	shift-add	ripple	bf16_mul_comm	.009510
smt2	cryptominisat	comba	brent-kung	bf16_mul_comm	.045756
smt2	cryptominisat	comba	g-only	bf16_mul_comm	.045610
smt2	cryptominisat	comba	ripple	bf16_mul_comm	.046397
smt2	cryptominisat	comba-cs	brent-kung	bf16_mul_comm	.240419
smt2	cryptominisat	comba-cs	g-only	bf16_mul_comm	.240430
smt2	cryptominisat	comba-cs	ripple	bf16_mul_comm	.238959
smt2	cryptominisat	dadda	brent-kung	bf16_mul_comm	.046067
smt2	cryptominisat	dadda	g-only	bf16_mul_comm	.045672
smt2	cryptominisat	dadda	ripple	bf16_mul_comm	.045333
smt2	cryptominisat	shift-add	brent-kung	bf16_mul_comm	.278717
smt2	cryptominisat	shift-add	g-only	bf16_mul_comm	.281130
smt2	cryptominisat	shift-add	ripple	bf16_mul_comm	.279306
smt2	mergesat	comba	brent-kung	bf16_mul_comm	.059014
smt2	mergesat	comba	g-only	bf16_mul_comm	.058881
smt2	mergesat	comba	ripple	bf16_mul_comm	.059700
smt2	mergesat	comba-cs	brent-kung	bf16_mul_comm	.033008
smt2	mergesat	comba-cs	g-only	bf16_mul_comm	.032756
smt2	mergesat	comba-cs	ripple	bf16_mul_comm	.033720
smt2	mergesat	dadda	brent-kung	bf16_mul_comm	.032956
smt2	mergesat	dadda	g-only	bf16_mul_comm	.031770
smt2	mergesat	dadda	ripple	bf16_mul_comm	.032101
smt2	mergesat	shift-add	brent-kung	bf16_mul_comm	.043714
smt2	mergesat	shift-add	g-only	bf16_mul_comm	.043835
smt2	mergesat	shift-add	ripple	bf16_mul_comm	.044272
