# Bitwuzla 0.9.0-dev and cvc5 1.3.3 on Martin's 210-benchmark sample
# 10 s timeout; T/O denotes timeout or unknown
# Used to validate the "wins beyond all current solvers" claim
benchmark	bitwuzla	cvc5
bitwidth-16-degree-22-seed-23-identity-point-original-native-encoding	0.02	0.07
bitwidth-8-degree-3-seed-23-identity-point-original-native-encoding	0.00	0.01
bitwidth-32-degree-23-seed-23-identity-point-original-native-encoding	0.34	0.91
bitwidth-32-degree-9-seed-23-identity-point-original-native-encoding	0.09	0.21
bitwidth-8-degree-2-seed-23-identity-point-original-native-encoding	0.00	0.01
bitwidth-8-degree-11-seed-23-identity-point-original-subpolynomial-encoding	0.00	0.02
bitwidth-16-degree-7-seed-23-identity-point-original-subpolynomial-encoding	0.04	0.09
bitwidth-32-degree-18-seed-23-identity-point-original-subpolynomial-encoding	0.42	5.28
bitwidth-16-degree-22-seed-23-identity-point-original-subpolynomial-encoding	0.06	0.26
bitwidth-8-degree-13-seed-23-identity-point-original-subpolynomial-encoding	0.00	0.02
bitwidth-16-degree-28-seed-23-identity-point-reduced-native-encoding	0.04	0.12
bitwidth-16-degree-25-seed-23-identity-point-reduced-native-encoding	0.01	0.06
bitwidth-32-degree-18-seed-23-identity-point-reduced-native-encoding	0.26	0.72
bitwidth-32-degree-20-seed-23-identity-point-reduced-native-encoding	0.29	0.78
bitwidth-32-degree-14-seed-23-identity-point-reduced-native-encoding	0.06	0.38
bitwidth-16-degree-4-seed-23-identity-point-reduced-subpolynomial-encoding	0.02	0.04
bitwidth-16-degree-23-seed-23-identity-point-reduced-subpolynomial-encoding	0.06	0.24
bitwidth-8-degree-9-seed-23-identity-point-reduced-subpolynomial-encoding	0.00	0.01
bitwidth-16-degree-26-seed-23-identity-point-reduced-subpolynomial-encoding	0.06	0.25
bitwidth-16-degree-13-seed-23-identity-point-reduced-subpolynomial-encoding	0.06	0.23
bitwidth-16-degree-19-seed-23-multiplication-original-native-encoding	0.01	T/O
bitwidth-32-degree-15-seed-23-multiplication-original-native-encoding	0.00	T/O
bitwidth-16-degree-21-seed-23-multiplication-original-native-encoding	0.01	T/O
bitwidth-16-degree-29-seed-23-multiplication-original-native-encoding	0.02	T/O
bitwidth-16-degree-25-seed-23-multiplication-original-native-encoding	0.01	T/O
bitwidth-16-degree-20-seed-23-multiplication-original-subpolynomial-encoding	4.72	6.04
bitwidth-16-degree-30-seed-23-multiplication-original-subpolynomial-encoding	1.70	2.08
bitwidth-32-degree-17-seed-23-multiplication-original-subpolynomial-encoding	T/O	T/O
bitwidth-32-degree-18-seed-23-multiplication-original-subpolynomial-encoding	T/O	T/O
bitwidth-8-degree-10-seed-23-multiplication-original-subpolynomial-encoding	0.04	0.05
bitwidth-16-degree-20-seed-23-multiplication-reduced-native-encoding	T/O	T/O
bitwidth-8-degree-4-seed-23-multiplication-reduced-native-encoding	0.03	0.06
bitwidth-16-degree-13-seed-23-multiplication-reduced-native-encoding	T/O	T/O
bitwidth-32-degree-19-seed-23-multiplication-reduced-native-encoding	T/O	T/O
bitwidth-32-degree-6-seed-23-multiplication-reduced-native-encoding	0.06	T/O
bitwidth-16-degree-30-seed-23-multiplication-reduced-subpolynomial-encoding	1.72	2.03
bitwidth-16-degree-18-seed-23-multiplication-reduced-subpolynomial-encoding	6.91	7.81
bitwidth-8-degree-13-seed-23-multiplication-reduced-subpolynomial-encoding	0.03	0.05
bitwidth-32-degree-8-seed-23-multiplication-reduced-subpolynomial-encoding	T/O	T/O
bitwidth-16-degree-11-seed-23-multiplication-reduced-subpolynomial-encoding	5.44	8.02
bitwidth-32-degree-3-seed-23-nonequality-original-native-encoding	0.03	0.07
bitwidth-16-degree-18-seed-23-nonequality-original-native-encoding	0.03	0.13
bitwidth-16-degree-24-seed-23-nonequality-original-native-encoding	0.02	0.17
bitwidth-32-degree-21-seed-23-nonequality-original-native-encoding	0.29	1.08
bitwidth-16-degree-11-seed-23-nonequality-original-native-encoding	0.02	0.06
bitwidth-32-degree-13-seed-23-nonequality-original-subpolynomial-encoding	0.71	5.39
bitwidth-16-degree-29-seed-23-nonequality-original-subpolynomial-encoding	0.12	0.56
bitwidth-16-degree-25-seed-23-nonequality-original-subpolynomial-encoding	0.11	0.54
bitwidth-32-degree-21-seed-23-nonequality-original-subpolynomial-encoding	1.11	T/O
bitwidth-8-degree-4-seed-23-nonequality-original-subpolynomial-encoding	0.01	0.01
bitwidth-32-degree-15-seed-23-nonequality-reduced-native-encoding	0.08	0.17
bitwidth-16-degree-7-seed-23-nonequality-reduced-native-encoding	0.01	0.03
bitwidth-8-degree-13-seed-23-nonequality-reduced-native-encoding	0.00	0.01
bitwidth-32-degree-24-seed-23-nonequality-reduced-native-encoding	0.35	1.00
bitwidth-8-degree-10-seed-23-nonequality-reduced-native-encoding	0.00	0.01
bitwidth-32-degree-16-seed-23-nonequality-reduced-subpolynomial-encoding	0.84	8.96
bitwidth-16-degree-14-seed-23-nonequality-reduced-subpolynomial-encoding	0.11	0.47
bitwidth-8-degree-10-seed-23-nonequality-reduced-subpolynomial-encoding	0.01	0.02
bitwidth-8-degree-7-seed-23-nonequality-reduced-subpolynomial-encoding	0.01	0.02
bitwidth-8-degree-14-seed-23-nonequality-reduced-subpolynomial-encoding	0.01	0.02
bitwidth-16-degree-12-seed-23-root-finding-original-native-encoding	0.01	0.04
bitwidth-16-degree-6-seed-23-root-finding-original-native-encoding	0.01	0.03
bitwidth-8-degree-2-seed-23-root-finding-original-native-encoding	0.00	0.00
bitwidth-32-degree-4-seed-23-root-finding-original-native-encoding	0.03	0.08
bitwidth-8-degree-9-seed-23-root-finding-original-native-encoding	0.00	0.02
bitwidth-8-degree-11-seed-23-root-finding-original-subpolynomial-encoding	0.00	0.01
bitwidth-32-degree-24-seed-23-root-finding-original-subpolynomial-encoding	0.65	9.89
bitwidth-16-degree-6-seed-23-root-finding-original-subpolynomial-encoding	0.03	0.07
bitwidth-8-degree-10-seed-23-root-finding-original-subpolynomial-encoding	0.01	0.01
bitwidth-8-degree-5-seed-23-root-finding-original-subpolynomial-encoding	0.00	0.01
bitwidth-32-degree-28-seed-23-root-finding-reduced-native-encoding	0.41	1.22
bitwidth-32-degree-7-seed-23-root-finding-reduced-native-encoding	0.07	0.16
bitwidth-16-degree-9-seed-23-root-finding-reduced-native-encoding	0.01	0.03
bitwidth-16-degree-6-seed-23-root-finding-reduced-native-encoding	0.01	0.03
bitwidth-16-degree-10-seed-23-root-finding-reduced-native-encoding	0.01	0.06
bitwidth-16-degree-2-seed-23-root-finding-reduced-subpolynomial-encoding	0.01	0.02
bitwidth-16-degree-8-seed-23-root-finding-reduced-subpolynomial-encoding	0.04	0.10
bitwidth-32-degree-12-seed-23-root-finding-reduced-subpolynomial-encoding	0.30	2.49
bitwidth-16-degree-11-seed-23-root-finding-reduced-subpolynomial-encoding	0.05	0.19
bitwidth-32-degree-25-seed-23-root-finding-reduced-subpolynomial-encoding	0.69	T/O
bitwidth-32-degree-15-seed-42-identity-point-original-native-encoding	0.18	0.42
bitwidth-16-degree-26-seed-42-identity-point-original-native-encoding	0.05	0.18
bitwidth-32-degree-48-seed-42-identity-point-original-native-encoding	1.58	2.92
bitwidth-32-degree-16-seed-42-identity-point-original-native-encoding	0.08	0.20
bitwidth-16-degree-22-seed-42-identity-point-original-native-encoding	0.04	0.14
bitwidth-32-degree-13-seed-42-identity-point-original-subpolynomial-encoding	0.28	3.12
bitwidth-32-degree-9-seed-42-identity-point-original-subpolynomial-encoding	0.20	1.27
bitwidth-64-degree-7-seed-42-identity-point-original-subpolynomial-encoding	1.21	6.80
bitwidth-32-degree-48-seed-42-identity-point-original-subpolynomial-encoding	0.86	T/O
bitwidth-64-degree-5-seed-42-identity-point-original-subpolynomial-encoding	0.83	2.72
bitwidth-8-degree-8-seed-42-identity-point-reduced-native-encoding	0.00	0.02
bitwidth-16-degree-8-seed-42-identity-point-reduced-native-encoding	0.02	0.04
bitwidth-64-degree-16-seed-42-identity-point-reduced-native-encoding	0.68	0.94
bitwidth-32-degree-61-seed-42-identity-point-reduced-native-encoding	0.45	1.11
bitwidth-32-degree-9-seed-42-identity-point-reduced-native-encoding	0.04	0.10
bitwidth-16-degree-17-seed-42-identity-point-reduced-subpolynomial-encoding	0.06	0.28
bitwidth-16-degree-20-seed-42-identity-point-reduced-subpolynomial-encoding	0.06	0.27
bitwidth-32-degree-63-seed-42-identity-point-reduced-subpolynomial-encoding	0.72	T/O
bitwidth-16-degree-29-seed-42-identity-point-reduced-subpolynomial-encoding	0.06	0.25
bitwidth-64-degree-10-seed-42-identity-point-reduced-subpolynomial-encoding	1.78	T/O
bitwidth-64-degree-16-seed-42-root-finding-original-native-encoding	T/O	4.69
bitwidth-32-degree-36-seed-42-root-finding-original-native-encoding	0.65	1.61
bitwidth-64-degree-13-seed-42-root-finding-original-native-encoding	1.47	1.68
bitwidth-32-degree-5-seed-42-root-finding-original-native-encoding	0.06	0.14
bitwidth-64-degree-20-seed-42-root-finding-original-native-encoding	5.05	2.77
bitwidth-16-degree-30-seed-42-root-finding-original-subpolynomial-encoding	0.06	0.28
bitwidth-32-degree-24-seed-42-root-finding-original-subpolynomial-encoding	0.65	9.97
bitwidth-16-degree-32-seed-42-root-finding-original-subpolynomial-encoding	0.06	0.29
bitwidth-32-degree-28-seed-42-root-finding-original-subpolynomial-encoding	0.74	T/O
bitwidth-16-degree-21-seed-42-root-finding-original-subpolynomial-encoding	0.06	0.26
bitwidth-16-degree-17-seed-42-root-finding-reduced-native-encoding	0.03	0.09
bitwidth-64-degree-11-seed-42-root-finding-reduced-native-encoding	T/O	2.62
bitwidth-64-degree-15-seed-42-root-finding-reduced-native-encoding	4.79	1.99
bitwidth-16-degree-22-seed-42-root-finding-reduced-native-encoding	0.03	0.10
bitwidth-32-degree-33-seed-42-root-finding-reduced-native-encoding	0.54	1.42
bitwidth-32-degree-53-seed-42-root-finding-reduced-subpolynomial-encoding	0.78	T/O
bitwidth-32-degree-32-seed-42-root-finding-reduced-subpolynomial-encoding	0.75	T/O
bitwidth-8-degree-8-seed-42-root-finding-reduced-subpolynomial-encoding	0.01	0.01
bitwidth-32-degree-44-seed-42-root-finding-reduced-subpolynomial-encoding	0.77	T/O
bitwidth-32-degree-18-seed-42-root-finding-reduced-subpolynomial-encoding	0.42	5.27
