encoding	benchmark	run	time	result	conflicts
block4	const_mul_32_255	3	.004686	unsat	0
block4	const_mul_32_255	4	.004635	unsat	0
block4	const_mul_32_255	5	.004637	unsat	0
sortnet	const_mul_32_255	1	.004598	unsat	0
sortnet	const_mul_32_255	2	.004675	unsat	0
sortnet	const_mul_32_255	3	.004710	unsat	0
sortnet	const_mul_32_255	4	.004650	unsat	0
sortnet	const_mul_32_255	5	.004622	unsat	0
shift-add	strength_16_3	1	.005018	unsat	0
shift-add	strength_16_3	2	.005012	unsat	0
shift-add	strength_16_3	3	.005043	unsat	0
shift-add	strength_16_3	4	.004994	unsat	0
shift-add	strength_16_3	5	.004994	unsat	0
comba-cs	strength_16_3	1	.005037	unsat	0
comba-cs	strength_16_3	2	.004977	unsat	0
comba-cs	strength_16_3	3	.004964	unsat	0
comba-cs	strength_16_3	4	.005044	unsat	0
comba-cs	strength_16_3	5	.004998	unsat	0
dadda	strength_16_3	1	.005019	unsat	0
dadda	strength_16_3	2	.005042	unsat	0
dadda	strength_16_3	3	.005007	unsat	0
dadda	strength_16_3	4	.005051	unsat	0
dadda	strength_16_3	5	.004998	unsat	0
booth	strength_16_3	1	.005061	unsat	0
booth	strength_16_3	2	.005137	unsat	0
booth	strength_16_3	3	.005119	unsat	0
booth	strength_16_3	4	.005073	unsat	0
booth	strength_16_3	5	.005045	unsat	0
block4	strength_16_3	1	.005185	unsat	0
block4	strength_16_3	2	.005163	unsat	0
block4	strength_16_3	3	.005158	unsat	0
block4	strength_16_3	4	.005146	unsat	0
block4	strength_16_3	5	.005154	unsat	0
sortnet	strength_16_3	1	.006487	unsat	0
sortnet	strength_16_3	2	.006525	unsat	0
sortnet	strength_16_3	3	.006433	unsat	0
sortnet	strength_16_3	4	.006459	unsat	0
sortnet	strength_16_3	5	.006419	unsat	0
shift-add	strength_16_7	1	.005060	unsat	0
shift-add	strength_16_7	2	.005113	unsat	0
shift-add	strength_16_7	3	.005077	unsat	0
shift-add	strength_16_7	4	.005167	unsat	0
shift-add	strength_16_7	5	.005129	unsat	0
comba-cs	strength_16_7	1	.005090	unsat	0
comba-cs	strength_16_7	2	.005233	unsat	0
comba-cs	strength_16_7	3	.005209	unsat	0
comba-cs	strength_16_7	4	.005156	unsat	0
comba-cs	strength_16_7	5	.005071	unsat	0
dadda	strength_16_7	1	.005222	unsat	0
dadda	strength_16_7	2	.005078	unsat	0
dadda	strength_16_7	3	.005152	unsat	0
dadda	strength_16_7	4	.005164	unsat	0
dadda	strength_16_7	5	.005099	unsat	0
booth	strength_16_7	1	.005086	unsat	0
booth	strength_16_7	2	.005151	unsat	0
booth	strength_16_7	3	.005171	unsat	0
booth	strength_16_7	4	.005083	unsat	0
booth	strength_16_7	5	.005088	unsat	0
block4	strength_16_7	1	.005338	unsat	0
block4	strength_16_7	2	.005199	unsat	0
block4	strength_16_7	3	.005276	unsat	0
block4	strength_16_7	4	.005242	unsat	0
block4	strength_16_7	5	.005244	unsat	0
sortnet	strength_16_7	1	.007907	unsat	0
sortnet	strength_16_7	2	.008164	unsat	0
sortnet	strength_16_7	3	.008060	unsat	0
sortnet	strength_16_7	4	.007931	unsat	0
sortnet	strength_16_7	5	.007907	unsat	0
shift-add	strength_16_15	1	.005175	unsat	0
shift-add	strength_16_15	2	.005182	unsat	0
shift-add	strength_16_15	3	.005151	unsat	0
shift-add	strength_16_15	4	.005233	unsat	0
shift-add	strength_16_15	5	.005125	unsat	0
comba-cs	strength_16_15	1	.005180	unsat	0
comba-cs	strength_16_15	2	.005130	unsat	0
comba-cs	strength_16_15	3	.005157	unsat	0
comba-cs	strength_16_15	4	.005185	unsat	0
comba-cs	strength_16_15	5	.005210	unsat	0
dadda	strength_16_15	1	.005170	unsat	0
dadda	strength_16_15	2	.005163	unsat	0
dadda	strength_16_15	3	.005141	unsat	0
dadda	strength_16_15	4	.005094	unsat	0
dadda	strength_16_15	5	.005119	unsat	0
booth	strength_16_15	1	.005061	unsat	0
booth	strength_16_15	2	.005037	unsat	0
booth	strength_16_15	3	.005090	unsat	0
booth	strength_16_15	4	.005005	unsat	0
booth	strength_16_15	5	.005091	unsat	0
block4	strength_16_15	1	.005199	unsat	0
block4	strength_16_15	2	.005271	unsat	0
block4	strength_16_15	3	.005248	unsat	0
block4	strength_16_15	4	.005363	unsat	0
block4	strength_16_15	5	.005351	unsat	0
